,exp,data type,label,time,data
266,UMSTBG1d,behavior,whisk,26.6,1.867793679
267,UMSTBG1d,behavior,whisk,26.7,1.458453178
268,UMSTBG1d,behavior,whisk,26.8,1.42005682
269,UMSTBG1d,behavior,whisk,26.9,1.296214104
270,UMSTBG1d,behavior,whisk,27,1.778423309
271,UMSTBG1d,behavior,whisk,27.1,1.072303653
272,UMSTBG1d,behavior,whisk,27.2,1.455714583
273,UMSTBG1d,behavior,whisk,27.3,1.868999004
274,UMSTBG1d,behavior,whisk,27.4,2.405173779
275,UMSTBG1d,behavior,whisk,27.5,1.377141595
276,UMSTBG1d,behavior,whisk,27.6,0.812507808
277,UMSTBG1d,behavior,whisk,27.7,0.861741245
278,UMSTBG1d,behavior,whisk,27.8,1.707312703
279,UMSTBG1d,behavior,whisk,27.9,1.602853298
280,UMSTBG1d,behavior,whisk,28,1.513980269
281,UMSTBG1d,behavior,whisk,28.1,1.48692596
282,UMSTBG1d,behavior,whisk,28.2,2.916224718
283,UMSTBG1d,behavior,whisk,28.3,1.943560958
284,UMSTBG1d,behavior,whisk,28.4,1.881718636
285,UMSTBG1d,behavior,whisk,28.5,1.055265903
286,UMSTBG1d,behavior,whisk,28.6,2.608515501
287,UMSTBG1d,behavior,whisk,28.7,2.296437025
288,UMSTBG1d,behavior,whisk,28.8,1.648965359
289,UMSTBG1d,behavior,whisk,28.9,2.004366875
290,UMSTBG1d,behavior,whisk,29,1.490640759
291,UMSTBG1d,behavior,whisk,29.1,2.146933556
292,UMSTBG1d,behavior,whisk,29.2,0.895660222
293,UMSTBG1d,behavior,whisk,29.3,1.393670082
294,UMSTBG1d,behavior,whisk,29.4,1.536810279
295,UMSTBG1d,behavior,whisk,29.5,1.0591501
296,UMSTBG1d,behavior,whisk,29.6,1.943372726
297,UMSTBG1d,behavior,whisk,29.7,1.625017285
298,UMSTBG1d,behavior,whisk,29.8,1.68827188
299,UMSTBG1d,behavior,whisk,29.9,0.997973442
300,UMSTBG1d,behavior,whisk,30,1.684230804
301,UMSTBG1d,behavior,whisk,30.1,2.033483267
302,UMSTBG1d,behavior,whisk,30.2,2.404973745
