,exp,data type,label,time,data
251,UMSTBG,behavior,whisk,25.1,0.05291478
252,UMSTBG,behavior,whisk,25.2,0.053873435
253,UMSTBG,behavior,whisk,25.3,0.036297407
254,UMSTBG,behavior,whisk,25.4,0.029723207
255,UMSTBG,behavior,whisk,25.5,0.020887271
256,UMSTBG,behavior,whisk,25.6,0.050449904
257,UMSTBG,behavior,whisk,25.7,0.046888892
258,UMSTBG,behavior,whisk,25.8,0.047661174
259,UMSTBG,behavior,whisk,25.9,0.060176611
260,UMSTBG,behavior,whisk,26,0.064022012
261,UMSTBG,behavior,whisk,26.1,0.06173278
262,UMSTBG,behavior,whisk,26.2,0.046775471
263,UMSTBG,behavior,whisk,26.3,0.044609472
264,UMSTBG,behavior,whisk,26.4,0.046987936
265,UMSTBG,behavior,whisk,26.5,0.054543525
266,UMSTBG,behavior,whisk,26.6,0.020747304
267,UMSTBG,behavior,whisk,26.7,0.066525646
268,UMSTBG,behavior,whisk,26.8,0.060731858
269,UMSTBG,behavior,whisk,26.9,0.054053415
270,UMSTBG,behavior,whisk,27,0.030895062
271,UMSTBG,behavior,whisk,27.1,0.04865266
272,UMSTBG,behavior,whisk,27.2,0.041735452
273,UMSTBG,behavior,whisk,27.3,0.031024413
274,UMSTBG,behavior,whisk,27.4,0.023390606
275,UMSTBG,behavior,whisk,27.5,0.0551521
276,UMSTBG,behavior,whisk,27.6,0.039978135
277,UMSTBG,behavior,whisk,27.7,0.07386791
278,UMSTBG,behavior,whisk,27.8,0.351508826
279,UMSTBG,behavior,whisk,27.9,0.135818228
280,UMSTBG,behavior,whisk,28,0.185502842
281,UMSTBG,behavior,whisk,28.1,0.136251077
282,UMSTBG,behavior,whisk,28.2,0.13054432
283,UMSTBG,behavior,whisk,28.3,0.087837964
284,UMSTBG,behavior,whisk,28.4,0.074201316
285,UMSTBG,behavior,whisk,28.5,0.056211185
286,UMSTBG,behavior,whisk,28.6,0.064524852
287,UMSTBG,behavior,whisk,28.7,0.033327084
288,UMSTBG,behavior,whisk,28.8,0.058993805
289,UMSTBG,behavior,whisk,28.9,0.081903435
290,UMSTBG,behavior,whisk,29,0.049901951
291,UMSTBG,behavior,whisk,29.1,0.037001636
292,UMSTBG,behavior,whisk,29.2,0.049306799
293,UMSTBG,behavior,whisk,29.3,0.043977935
294,UMSTBG,behavior,whisk,29.4,0.030933104
295,UMSTBG,behavior,whisk,29.5,0.045752004
296,UMSTBG,behavior,whisk,29.6,0.061430346
297,UMSTBG,behavior,whisk,29.7,0.036317494
298,UMSTBG,behavior,whisk,29.8,0.015687017
299,UMSTBG,behavior,whisk,29.9,0.053065527
300,UMSTBG,behavior,whisk,30,0.067882068
